Frequency(Hz)	RCS(m²)
17476212424.849697	0.0017764207382856751
17516272545.09018	0.0018044496463742374
17556332665.33066	0.0018344215312808129
17596392785.57114	0.0018659665248808718
17636452905.811623	0.0018986983553558867
17676513026.052105	0.0019322190119147097
17716573146.292583	0.0019661235233715702
17756633266.533066	0.0020000047946735454
17796693386.773544	0.0020334584447871335
17836753507.014027	0.002066087589282371
17876813627.25451	0.0020975075115164084
17916873747.494987	0.002127350167533329
17956933867.73547	0.0021552684716719095
17996993987.975952	0.002180940312406895
18037054108.21643	0.002204072251131843
18077114228.456913	0.002224402860398018
18117174348.697395	0.0022417056625196378
18157234468.937874	0.00225579163439145
18197294589.178356	0.0022665112497794477
18237354709.418835	0.002273756036167966
18277414829.659317	0.0022774596293901467
18317474949.8998	0.002277598315650076
18357535070.140278	0.002274191057056015
18397595190.38076	0.0022672990033344655
18437655310.621243	0.002257024498875435
18477715430.86172	0.002243509600572411
18517775551.102203	0.0022269341279702423
18557835671.342686	0.002207513272929756
18597895791.583164	0.0021854948012798242
18637955911.823647	0.002161155883685249
18678016032.06413	0.0021347995971534315
18718076152.304607	0.0021067511421895787
18758136272.54509	0.002077353823555134
18798196392.78557	0.002046964844868333
18838256513.02605	0.0020159509688999224
18878316633.266533	0.001984684096366006
18918376753.50701	0.001953536816315256
18958436873.747494	0.0019228779808713847
18998496993.987976	0.0018930683561546977
19038557114.228455	0.0018644563996949729
19078617234.468937	0.0018373742126128396
19118677354.70942	0.0018121337123122067
19158737474.949898	0.0017890230684458437
19198797595.19038	0.0017683034415268322
19238857715.430862	0.0017502060598007258
19278917835.67134	0.00173492966591086
19318977955.911823	0.001722638360520743
19359038076.1523	0.001713459865443871
19399098196.392784	0.0017074842240120975
19439158316.633266	0.0017047629514304959
19479218436.873745	0.0017053086427599204
19519278557.114227	0.0017090950409823502
19559338677.35471	0.0017160575623839346
19599398797.59519	0.0017260942712843822
19639458917.83567	0.001739067290999643
19679519038.076153	0.0017548046329012989
19719579158.31663	0.0017731024205867797
19759639278.557114	0.0017937274815558173
19799699398.797592	0.0018164202744620848
19839759519.038074	0.0018408981160276071
19879819639.278557	0.0018668586681363517
19919879759.519035	0.0018939836425082358
19959939879.759518	0.0019219426777524913
20000000000.0	0.0019503973415498186
